,0,Overweight,,,,,,,,,,Hypertension,,,,,,,,,,High_Cholesterol,,,,,,,,,,State,322405452,,
,,Correlated,Pop_Adjusted_Correlated,Random,Pop_Adjusted_Random,Actual,Pop_Adjusted_Actual,Difference,%Error,Pop_Adjusted_Fractional_Error,,Correlated,Pop_Adjusted_Correlated,Random,Pop_Adjusted_Random,Actual,Pop_Adjusted_Actual,Difference,%Error,Pop_Adjusted_Fractional_Error,,Correlated,Pop_Adjusted_Correlated,Random,Pop_Adjusted_Random,Actual,Pop_Adjusted_Actual,Difference,%Error,Pop_Adjusted_Fractional_Error,,,State Population,National Population,Fraction of National Population
0,AL,0.6584540667,0.9903964052,0.6641884532,0.9990216321,0.67,1.0077629177,0.0115459333,1.7232736213,0.0259201679,,0.2751084554,0.4137971638,0.1447984749,0.2177948263,0.4035,0.6069139363,0.1283915446,31.8194658164,0.478604145,,0.1137213173,0.1710509351,0.112037037,0.1685175692,0.4438,0.6675301237,0.3300786827,49.4477583832,0.7437554815,,AL,4849377,322405452,0.0150412376
1,AK,0.6394203975,0.1461146099,0.6371631737,0.1455988093,0.648,0.1480751436,0.0085796025,1.3240127241,0.003025515,,0.255433773,0.058369433,0.1336077844,0.0305308516,0.2982,0.0681419874,0.042766227,14.3414577502,0.032771812,,0.1083039197,0.0247486396,0.1178892216,0.0269389867,0.3863,0.0882738086,0.2779960803,314.9247604422,0.7196377951,,AK,736732,322405452,0.0022851102
2,AZ,0.6548306243,1.3672169137,0.655078844,1.36773517,0.64,1.3362521425,0.0148306243,2.3172850524,0.0483824549,,0.2728239405,0.5696274609,0.1430197916,0.298610161,0.3068,0.6405658708,0.0339760595,11.0743349242,0.2312203714,,0.1118790825,0.233591662,0.1109888233,0.2317328952,0.3972,0.829311486,0.2853209175,34.4045539396,0.718330608,,AZ,6731484,322405452,0.0208789397
3,AR,0.6543143573,0.6020176811,0.6444872887,0.59297605,0.706,0.6495723013,0.0516856427,7.3209125606,0.067357819,,0.2831185106,0.2604900035,0.146617047,0.1348985448,0.3867,0.3557926472,0.1035814894,26.7860070954,0.2464511087,,0.1176154672,0.1082149429,0.1123167287,0.1033397109,0.4243,0.3903874326,0.3066845328,78.5590178197,0.7228011613,,AR,2966369,322405452,0.0092007408
4,CA,0.6607458062,7.9522815099,0.6598110575,7.9410315176,0.597,7.1850808838,0.0637458062,10.6776894855,1.285093176,,0.2547368941,3.0658378359,0.1306765153,1.5727325489,0.2872,3.4565414235,0.0324631059,11.3033098612,1.3603885361,,0.1110685939,1.3367451106,0.1114958001,1.3418866696,0.3772,4.5397194462,0.2661314061,5.8622875097,0.7055445548,,CA,38802500,322405452,0.1203531136
5,CO,0.6497753554,1.0794202492,0.6539077317,1.0862850382,0.574,0.9535406628,0.0757753554,13.2012814252,0.2193024153,,0.2599985269,0.4319149263,0.1345599645,0.223533794,0.2627,0.4364026692,0.0027014731,1.0283490976,0.0170831477,,0.1138690432,0.1891616079,0.110421439,0.1834343765,0.3483,0.5786031583,0.2344309568,40.5167088016,0.6730719402,,CO,5355866,322405452,0.0166122067
6,CT,0.6643073812,0.7410851969,0.6571418591,0.7330915143,0.604,0.6738077457,0.0603073812,9.9846657605,0.1113865087,,0.2775705171,0.3096509344,0.14671464,0.1636712928,0.3129,0.3490636484,0.0353294829,11.2909820815,0.1259594567,,0.1167323315,0.1302237569,0.1166032068,0.1300797084,0.3784,0.4221338592,0.2616676685,61.9868941541,0.6915107518,,CT,3596677,322405452,0.0111557574
7,DE,0.6615012795,0.1919663127,0.6646689498,0.1928855641,0.674,0.1955934157,0.0124987205,1.8544095698,0.0053814585,,0.2803525732,0.0813577409,0.1438356164,0.0417408005,0.3563,0.1033975282,0.0759474268,21.3155842785,0.0618573878,,0.1147284618,0.033293964,0.1167237443,0.0338729909,0.4058,0.1177623266,0.2910715382,247.1686376871,0.7172783101,,DE,935614,322405452,0.0029019795
8,DC,0.66858458,0.1366371744,0.6671146093,0.1363367597,0.549,0.1121979342,0.11958458,21.7822550049,0.0445159201,,0.250863061,0.0512683374,0.1180648877,0.0241286639,0.2844,0.0581222086,0.033536939,11.7921726478,0.0240994064,,0.10951285,0.0223809026,0.1090420426,0.0222846847,0.34,0.0694850595,0.23048715,331.7074948158,0.6779033823,,DC,658893,322405452,0.0020436782
