,0,Overweight,,,,,,,,,,Hypertension,,,,,,,,,,High_Cholesterol,,,,,,,,,,State,322405452,,
9,FL,0.6673457987,4.1177058554,0.6676942737,4.1198560415,0.622,3.8379098918,0.0453457987,7.2903213331,0.4498327389,,0.2928855443,1.8071838068,0.1555507249,0.9597904596,0.3459,2.1342974784,0.0530144557,15.3265266417,0.9456885564,,0.1163944662,0.718185648,0.1148219144,0.7084825739,0.4033,2.4884711565,0.2869055338,11.5293895643,0.7113948273,,FL,19893297,322405452,0.0617027314
10,GA,0.6690439917,2.0953636562,0.6655207417,2.0843292695,0.657,2.0576433524,0.0120439917,1.8331798705,0.0574129433,,0.2584363582,0.8093909506,0.134398051,0.4209181983,0.3505,1.0977229757,0.0920636418,26.2663742529,0.8226305993,,0.1141655319,0.3575524321,0.1143127834,0.3580136055,0.3814,1.1944979827,0.2672344681,22.372115478,0.7006671947,,GA,10097343,322405452,0.0313187725
11,HI,0.6467104064,0.2847485567,0.6431114763,0.2831639368,0.581,0.2558160651,0.0657104064,11.3098806222,0.049797748,,0.2804811372,0.1234966968,0.1515566511,0.0667308539,0.2848,0.1253983052,0.0043188628,1.5164546231,0.0066769958,,0.1109896118,0.0488690633,0.1129370949,0.049726546,0.3495,0.1538859118,0.2385103882,154.9916983315,0.6824331565,,HI,1419561,322405452,0.0044030304
12,ID,0.6414115646,0.3251694737,0.6377145785,0.3232952527,0.657,0.333072174,0.0155884354,2.3726690067,0.0120284631,,0.2693027211,0.1365254837,0.1395507729,0.0707465439,0.2942,0.1491473875,0.0248972789,8.4627052725,0.0429024603,,0.1115646259,0.05655871,0.111965155,0.0567617619,0.3844,0.1948751045,0.2728353741,140.0052483901,0.7097694437,,ID,1634464,322405452,0.0050695917
13,IL,0.6567013145,2.6236199684,0.6556164007,2.6192855755,0.638,2.5489054199,0.0187013145,2.9312405208,0.1171074428,,0.2654490794,1.0605087732,0.1385012463,0.5533331935,0.3013,1.2037385627,0.0358509206,11.8987456219,0.4753726835,,0.1132081033,0.4522833041,0.1139767218,0.4553540501,0.366,1.4622247393,0.2527918967,17.288169864,0.6906882424,,IL,12880580,322405452,0.0399514956
14,IN,0.6430430715,1.3157537738,0.6470994335,1.3240536433,0.665,1.3606806423,0.0219569285,3.3017937531,0.0675592007,,0.2724407207,0.5574508494,0.1447542082,0.2961868406,0.3348,0.6850464346,0.0623592793,18.6258301356,0.3811098724,,0.1134746004,0.2321844995,0.1150886312,0.2354870266,0.3982,0.8147714763,0.2847253996,34.9454304521,0.7150311391,,IN,6596855,322405452,0.020461363
15,IA,0.6371366594,0.6140292814,0.6474658364,0.6239838445,0.669,0.644737017,0.0318633406,4.7628311755,0.0459009501,,0.2886334056,0.2781653826,0.1481577582,0.142784441,0.3138,0.3024192466,0.0251665944,8.0199472148,0.0772908347,,0.116659436,0.1124284855,0.1113994119,0.1073592295,0.4106,0.3957085489,0.293940564,74.2820858502,0.7158805747,,IA,3107126,322405452,0.0096373246
16,KS,0.6484633787,0.5840941144,0.651245224,0.5865998217,0.66,0.594485561,0.0115366213,1.7479729202,0.0157446161,,0.2758557232,0.2484730975,0.1414629655,0.1274207431,0.3132,0.2821104208,0.0373442768,11.9234600178,0.1073988609,,0.1135443504,0.1022734498,0.113796437,0.1025005131,0.3811,0.3432703747,0.2675556496,77.9431227805,0.7020615314,,KS,2904021,322405452,0.009007357
17,KY,0.6508133652,0.89090826,0.641208725,0.8777603227,0.667,0.9130663892,0.0161866348,2.4267818228,0.0332205835,,0.2805428494,0.38403935,0.1427753676,0.1954473603,0.3909,0.5351089228,0.1103571506,28.2315555505,0.3864660343,,0.1164763261,0.1594462046,0.1149373343,0.1573394555,0.4321,0.591508226,0.3156236739,53.3591351812,0.7304412727,,KY,4413457,322405452,0.0136891513
18,LA,0.6672312095,0.9622693791,0.6655230563,0.95980591,0.689,0.9936639545,0.0217687905,3.1594761271,0.0455654215,,0.2696081294,0.3888242091,0.1419724371,0.2047502079,0.3985,0.5747098489,0.1288918706,32.3442586157,0.4664633371,,0.1186415932,0.171102866,0.1158923068,0.1671378924,0.407,0.5869684028,0.2883584068,49.1267341594,0.7084973141,,LA,4649676,322405452,0.0144218281
19,ME,0.6508570316,0.2685121399,0.6548672566,0.2701665648,0.645,0.2660958119,0.0058570316,0.9080669077,0.003746245,,0.2986949747,0.1232271035,0.1591958446,0.0656765078,0.3334,0.1375447189,0.0347050253,10.4094257113,0.0429442571,,0.1147253603,0.0473301363,0.1272604848,0.0525015225,0.3968,0.1637004933,0.2820746397,172.3114170588,0.7108735878,,ME,1330089,322405452,0.0041255165
20,MD,0.6666079373,1.235686406,0.6657185068,1.234037675,0.649,1.2030466975,0.0176079373,2.7130874079,0.0502923089,,0.2721446505,0.5044726087,0.1404158673,0.2602878975,0.3276,0.6072697968,0.0554553495,16.9277623667,0.3137887305,,0.115249086,0.2136364135,0.116359066,0.2156939754,0.3703,0.686422484,0.255050914,37.1565500736,0.6887683337,,MD,5976407,322405452,0.0185369291
21,MA,0.6464228029,1.3524540353,0.6484705793,1.3567384194,0.589,1.2323133146,0.0574228029,9.7492025213,0.203974059,,0.2730831354,0.5713480199,0.1447395903,0.3028260174,0.2939,0.6149013296,0.0208168646,7.0829753685,0.1481909143,,0.1150973872,0.2408082219,0.1140752274,0.2386696461,0.3647,0.7630299929,0.2496026128,32.7120316553,0.6844052998,,MA,6745408,322405452,0.0209221276
22,MI,0.6542474117,2.0109806883,0.6543481721,2.0112903987,0.656,2.0163676736,0.0017525883,0.2671628455,0.0082118678,,0.2866870188,0.8811988373,0.1506207885,0.4629678183,0.3462,1.0641257448,0.0595129812,17.1903469532,0.5283850594,,0.1184364216,0.3640417253,0.1161458057,0.3570009879,0.4058,1.2473201249,0.2873635784,23.0384784712,0.708140903,,MI,9909877,322405452,0.0307373121
23,MN,0.6439087366,1.0899075527,0.6428500521,1.088115578,0.641,1.0849841004,0.0029087366,0.453781055,0.0076808928,,0.2771667618,0.4691443522,0.1422544299,0.2407859512,0.2703,0.4575213765,0.0068667618,2.5404224329,0.04300028,,0.1159413094,0.1962472344,0.1155258847,0.1955440689,0.3362,0.5690665438,0.2202586906,38.7052609307,0.655141852,,MN,5457173,322405452,0.016926429
24,MS,0.6657327489,0.6182452656,0.6689586538,0.621241063,0.707,0.6565688762,0.0412672511,5.8369520677,0.0542059556,,0.2723123503,0.2528879969,0.1446213698,0.134305361,0.4017,0.3730462766,0.1293876497,32.2100198383,0.2991244205,,0.1138325275,0.1057127222,0.1146295123,0.1064528573,0.4194,0.3894837152,0.3055674725,78.4544925981,0.7285824334,,MS,2994079,322405452,0.0092866885
25,MO,0.6492369937,1.2210420975,0.6498648084,1.22222285,0.656,1.2337615134,0.0067630063,1.0309460806,0.0193893536,,0.2811029509,0.5286798813,0.1487766811,0.2798093647,0.3205,0.6027752516,0.0393970491,12.2923710211,0.231186803,,0.1145388979,0.2154172013,0.1152096019,0.2166786171,0.3881,0.729912871,0.2735611021,37.4785968225,0.7048727186,,MO,6063589,322405452,0.0188073401
26,MT,0.6473138053,0.2055104259,0.6397785686,0.2031181245,0.63,0.2000136058,0.0173138053,2.7482230687,0.0087251112,,0.2851701038,0.0905363504,0.1548701727,0.0491684788,0.2933,0.0931174454,0.0081298962,2.7718705183,0.0088001876,,0.1138841455,0.0361561565,0.1150652432,0.0365311336,0.357,0.1133410433,0.2431158545,214.4993969966,0.6809967912,,MT,1023579,322405452,0.0031748191
27,NE,0.6449192511,0.3763638295,0.6468578749,0.3774951771,0.667,0.3892497764,0.0220807489,3.3104571053,0.0193192607,,0.2724739174,0.1590111116,0.1425521315,0.0831909825,0.303,0.1768256106,0.0305260826,10.0746147217,0.0587937261,,0.1109761326,0.0647637703,0.1118069888,0.0652486438,0.3737,0.2180849197,0.2627238674,120.4686081615,0.7030341648,,NE,1881503,322405452,0.0058358287
28,NV,0.6524104379,0.5745117391,0.6591332919,0.5804318752,0.635,0.5591801314,0.0174104379,2.7418012377,0.0241442642,,0.2584697037,0.2276080675,0.1318266584,0.116086375,0.3061,0.2695512413,0.0476302963,15.560371228,0.1370244162,,0.1118531623,0.0984977417,0.1162418968,0.1023624553,0.3857,0.3396468924,0.2738468377,80.62692279,0.7099995792,,NV,2839098,322405452,0.0088059863
29,NH,0.6490848258,0.2671214707,0.6498536585,0.2674378727,0.636,0.2617365999,0.0130848258,2.0573625506,0.008466778,,0.2888210982,0.118860145,0.152195122,0.0626337009,0.3008,0.1237898888,0.0119789018,3.9823476699,0.0163887758,,0.1184806141,0.0487589828,0.1133658537,0.0466540772,0.3674,0.1511981554,0.2489193859,164.6312320128,0.6775160205,,NH,1326813,322405452,0.0041153553
30,NJ,0.6669483409,1.8490074998,0.6632293692,1.838697246,0.631,1.7493464797,0.0359483409,5.697042938,0.1579413947,,0.2787589432,0.7728145418,0.143140901,0.3968352319,0.3106,0.8610887743,0.0318410568,10.2514671094,0.2842055135,,0.1157117909,0.3207924153,0.1173611698,0.3253650543,0.3919,1.0864800086,0.2761882091,25.4204593677,0.704741539,,NJ,8938175,322405452,0.027723399
31,NM,0.6680774223,0.4321650137,0.6662148424,0.4309601506,0.649,0.4198242367,0.0190774223,2.9395103648,0.0190150646,,0.2725015518,0.176275433,0.1422681577,0.0920302322,0.2951,0.1908938864,0.0225984482,7.6578950081,0.049537287,,0.1116189831,0.0722039359,0.116514176,0.0753705316,0.3676,0.2377925877,0.2559810169,107.6488629639,0.6963574997,,NM,2085572,322405452,0.0064687864
32,NY,0.659986371,4.0421899248,0.6620907674,4.0550786303,0.611,3.7421652215,0.048986371,8.0174093221,0.4910387943,,0.2701152274,1.6543630272,0.1424550246,0.8724881158,0.3155,1.9323291774,0.0453847726,14.3850309486,0.8810337566,,0.1142981043,0.7000366463,0.1137004776,0.6963763878,0.3905,2.3916784272,0.2762018957,11.5484545304,0.70730319,,NY,19746227,322405452,0.0612465666
33,NC,0.6601017452,2.0359544013,0.6610837571,2.0389832246,0.656,2.0233033727,0.0041017452,0.6252660299,0.0192851047,,0.2705326265,0.834404841,0.142922485,0.440816381,0.3549,1.0946194618,0.0843673735,23.772153692,0.7332054686,,0.1151108915,0.3550369742,0.1136626577,0.350570181,0.4095,1.263022456,0.2943891085,23.3083035913,0.7188989218,,NC,9943964,322405452,0.0308430392
34,ND,0.6494586234,0.1489624194,0.6364516754,0.145979094,0.688,0.1578024233,0.0385413766,5.6019442796,0.0128488428,,0.2774555298,0.0636383066,0.1427464652,0.0327408984,0.2973,0.0681899134,0.0198444702,6.6748974855,0.015309811,,0.1142691415,0.0262092259,0.1071082704,0.02456678,0.3645,0.0836031734,0.2502308585,299.3078472654,0.6865044128,,ND,739482,322405452,0.0022936399
35,OH,0.6541898866,2.3525607682,0.6526168096,2.3469037575,0.667,2.3986277754,0.0128101134,1.9205567318,0.0690659778,,0.2820606713,1.0143306753,0.1494684249,0.5375099183,0.3351,1.2050677174,0.0530393287,15.8279106978,0.5691943962,,0.1145109796,0.4117979256,0.117003559,0.420761599,0.375,1.3485538467,0.2604890204,19.3161749521,0.6946373876,,OH,11594163,322405452,0.0359614359
36,OK,0.6416308275,0.7717850479,0.6487148525,0.7803060609,0.682,0.8203430698,0.0403691725,5.9192335109,0.0711994456,,0.2784792706,0.3349685333,0.1432810074,0.1723454274,0.3752,0.4513089733,0.0967207294,25.778446002,0.3100757995,,0.1133665921,0.1363629006,0.1149560117,0.1382747325,0.4116,0.4950926796,0.2982334079,60.2378948721,0.7245709618,,OK,3878051,322405452,0.0120284908
37,OR,0.6478615736,0.7978045254,0.6485268178,0.7986237356,0.617,0.7598002601,0.0308615736,5.0018757894,0.0615952435,,0.2770486451,0.3411695829,0.1460769583,0.1798854309,0.3184,0.3920914146,0.0413513549,12.9872345731,0.1599303761,,0.1181194907,0.1454574064,0.1153393872,0.1420338678,0.3702,0.4558801561,0.2520805093,55.2953459238,0.6809306032,,OR,3970239,322405452,0.0123144289
38,PA,0.6522145882,2.5868062096,0.650826259,2.5812998339,0.641,2.5423270352,0.0112145882,1.7495457436,0.0693902877,,0.2877103683,1.1411136467,0.1526439282,0.6054146418,0.3367,1.3354157765,0.0489896317,14.5499351718,0.5770779024,,0.116226901,0.4609778355,0.1148807186,0.4556386221,0.3851,1.5273793155,0.268873099,17.6035576943,0.6981903376,,PA,12787209,322405452,0.0396618882
39,PR,0.7062574615,0.7773075306,0.7042032895,0.7750467073,0.659,0.7252959305,0.0472574615,7.171086721,0.0789250382,,0.2799405992,0.3081028489,0.1488121138,0.1637827323,0.4231,0.4656642006,0.1431594008,33.8358309504,0.3723974278,,0.112191713,0.1234782897,0.1124068111,0.1237150268,0.3847,0.4234011297,0.272508287,64.3617288401,0.7083657057,,PR,3548397,322405452,0.011006008
40,RI,0.6496926111,0.2126322918,0.660233445,0.2160821105,0.624,0.2042235787,0.0256926111,4.1174056196,0.0134755018,,0.2809418861,0.0919470471,0.1424939327,0.0466356104,0.3382,0.1106865614,0.0572581139,16.9302524861,0.0554095633,,0.115415845,0.0377734566,0.1161446897,0.0380119939,0.3866,0.12652698,0.271184155,214.3291137994,0.7014592731,,RI,1055173,322405452,0.0032728138
41,SC,0.6621136673,0.9924312258,0.6644197281,0.9958877422,0.67,1.0042519194,0.0078863327,1.1770645756,0.0176428263,,0.2807744735,0.4208482149,0.1457139647,0.2184082519,0.3838,0.5752714726,0.1030255265,26.8435451979,0.4023534595,,0.1112192951,0.166704762,0.1142006516,0.171173468,0.4258,0.638224578,0.3145807049,49.2899702944,0.7387992131,,SC,4832482,322405452,0.0149888346
42,SD,0.6401597072,0.1694041632,0.6534868202,0.1729308901,0.652,0.1725374359,0.0118402928,1.8159958277,0.0048056329,,0.2783230744,0.0736520699,0.1518184852,0.0401754174,0.3068,0.0811878609,0.0284769256,9.2819183952,0.0245625521,,0.1166195309,0.0308607896,0.1107774441,0.0293148101,0.3664,0.0969596879,0.2497804691,257.6126992312,0.6817152542,,SD,853175,322405452,0.0026462797
43,TN,0.6549758967,1.3305195903,0.6599560836,1.3406363539,0.671,1.3630709917,0.0160241033,2.3880928877,0.0485117756,,0.2785562546,0.5658598364,0.1453549221,0.2952743336,0.3882,0.7885904009,0.1096437454,28.2441384348,0.5737520982,,0.1155731677,0.2347756071,0.1161936424,0.2360360408,0.387,0.786152718,0.2714268323,34.5259675417,0.7013613237,,TN,6549352,322405452,0.0203140237
44,TX,0.6651942891,5.5618211174,0.6662183836,5.5703837742,0.678,5.668892201,0.0128057109,1.8887479203,0.1579219521,,0.2547246388,2.1298031246,0.1309534483,1.0949277017,0.3118,2.6070215166,0.0570753612,18.3051190392,1.5305272354,,0.1127638701,0.9428410384,0.1108902902,0.9271756655,0.3768,3.1504993825,0.2640361299,8.3807707223,0.7007328287,,TX,26956958,322405452,0.0836119794
45,UT,0.6327030812,0.5775284356,0.634504091,0.5791723889,0.595,0.543113238,0.0377030812,6.336652308,0.0578406681,,0.2433973589,0.2221719794,0.1233286769,0.1125738438,0.242,0.2208964767,0.0013973589,0.5774210511,0.0052706726,,0.1042416967,0.0951513368,0.1099580922,0.1003692361,0.3343,0.3051474882,0.2300583033,75.3924945206,0.6881791903,,UT,2942902,322405452,0.0091279536
46,VT,0.6419651996,0.1247593665,0.6382335148,0.1240341517,0.602,0.1169925389,0.0399651996,6.6387374735,0.0129017069,,0.30419652,0.0591174804,0.153256705,0.0297838721,0.3106,0.0603619312,0.00640348,2.0616484356,0.0040066027,,0.1113613101,0.0216419309,0.1191772535,0.0231608795,0.3522,0.0684464655,0.2408386899,351.8643193445,0.6838122938,,VT,626562,322405452,0.0019433977
47,VA,0.6562375544,1.6947677207,0.6613566698,1.7079881034,0.647,1.6709112546,0.0092375544,1.4277518335,0.036872436,,0.268937282,0.6945445614,0.1405428585,0.3629592643,0.3245,0.8380381795,0.055562718,17.1225633429,0.4421991313,,0.1161805235,0.3000422631,0.1141146388,0.2947070081,0.386,0.996865138,0.2698194765,27.0667983302,0.6990141879,,VA,8326289,322405452,0.0258255217
48,WA,0.6464576379,1.4159127818,0.6461816199,1.4153082294,0.634,1.388627268,0.0124576379,1.9649271175,0.0430370879,,0.2690244909,0.5892346116,0.1381048198,0.3024859914,0.3043,0.6664972834,0.0352755091,11.5923460836,0.2539029633,,0.113621873,0.2488618787,0.1150873498,0.2520716595,0.3669,0.8036077991,0.253278127,31.5176292808,0.6903192341,,WA,7061530,322405452,0.0219026383
49,WV,0.6388080388,0.3666200791,0.6425097609,0.3687445447,0.696,0.3994432749,0.0571919612,8.2172358034,0.0471597641,,0.2945945946,0.1690715943,0.1611069251,0.0924613187,0.4097,0.2351320542,0.1151054054,28.0950464743,0.1612410542,,0.1225918226,0.0703570102,0.1206247003,0.0692280536,0.4294,0.2464381354,0.3068081774,124.4970373135,0.7145043722,,WV,1850326,322405452,0.0057391275
50,WI,0.6492601867,1.1594583944,0.6500651116,1.1608958412,0.674,1.2036391171,0.0247398133,3.670595451,0.0655500336,,0.2842249033,0.5075730143,0.1479289941,0.2641737742,0.3226,0.5761038267,0.0383750967,11.8955662569,0.2124327725,,0.1164807649,0.2080130638,0.1126316511,0.2011392598,0.3625,0.6473578338,0.2460192351,38.0035928069,0.6786737521,,WI,5757564,322405452,0.0178581471
51,WY,0.6377314815,0.1155479089,0.6499427262,0.1177604135,0.646,0.1170460473,0.0082685185,1.279956427,0.0023190997,,0.2733796296,0.0495325156,0.1429553265,0.0259014797,0.2869,0.0519822151,0.0135203704,4.7125724539,0.0085385136,,0.112037037,0.0202995237,0.113860252,0.0206298645,0.3503,0.0634693969,0.238262963,375.3981834818,0.6801683213,,WY,584153,322405452,0.0018118583
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,National Obesity,Adjusted Correlated Obesity,,Adjusted Random Obesity,,Adjusted State Obesity,,,Adjusted Error,,National Hypertension,Adjusted Correlated Hypertension,,Adjusted Random Hypertension,,Adjusted State Hypertension,,,Adjusted Error,,National Cholesterol,Adjusted Correlated Cholesterol,,Adjusted Random Cholesterol,,Adjusted State Cholesterol,,,Adjusted Error,,,,,
,,68.8,65.757080439,,65.791094256,,64.0967663863,,,4.671035319,,29.1,27.1778843966,,14.1830986501,,32.4935492586,,,15.7442275342,,13,11.421342707,,11.3892789538,,38.5431752436,,,36.4682701692,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Random,Correlated,National Stat,State Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Obesity,63.25,65.76,68.80,64.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hypertension,14.18,27.18,29.10,32.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cholesterol,11.39,11.42,13.00,38.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
