State,LDL,,,State,Tri,,,State,Sys,,,State,Dia,,,State,HDL,,,State,HR,,,State,State Population,National Population,Fraction of National Population
,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,,,
MS,70.9237165582,0.6586464629,,MS,71.8908170644,0.6676276241,,MS,72.0263919017,0.6688866654,,MS,66.5310918294,0.6178535254,,MS,71.4479392625,0.6635147559,,MS,70.1102675343,0.6510922152,,MS,2994079,322405452,0.0092866885
MO,73.4948766437,1.3822431406,,MO,73.1738422974,1.3762053385,,MO,73.4201152205,1.3808370771,,MO,68.9080434496,1.2959770088,,MO,73.085887682,1.3745511461,,MO,73.1870354897,1.3764534674,,MO,6063589,322405452,0.0188073401
MT,71.8602207042,0.2281432012,,MT,73.9358906989,0.234733078,,MT,74.3037309511,0.2359009042,,MT,67.9978980557,0.2158810255,,MT,72.7798213347,0.2310627669,,MT,72.4119810825,0.2298949406,,MT,1023579,322405452,0.0031748191
NE,73.0455909676,0.4262815562,,NE,72.1166214092,0.420860249,,NE,74.5891096184,0.4352892666,,NE,68.4722023724,0.3995920438,,NE,75.8896670001,0.4428790967,,NE,74.8606545662,0.4368739564,,NE,1881503,322405452,0.0058358287
NV,70.5616983636,0.6213653491,,NV,70.8536045997,0.6239358714,,NV,72.6227333038,0.6395147945,,NV,68.5448916409,0.6036053767,,NV,71.2074303406,0.627051656,,NV,70.9509066785,0.6247927122,,NV,2839098,322405452,0.0088059863
NH,72.0330643574,0.2964416532,,NH,72.288919504,0.297494588,,NH,73.1352096044,0.3009773725,,NH,69.3367447353,0.2853453399,,NH,73.7256445582,0.3034072221,,NH,72.7809486322,0.2995194627,,NH,1326813,322405452,0.0041153553
NJ,73.8465438567,2.0472772001,,NJ,74.3028561771,2.0599277286,,NJ,75.3675849248,2.0894456285,,NJ,69.5510112106,1.9281904346,,NJ,75.4718044054,2.0923349468,,NJ,73.612754211,2.0407957565,,NJ,8938175,322405452,0.027723399
NM,72.1557562077,0.4667601744,,NM,71.7494356659,0.4641317736,,NM,73.5665914221,0.4758865661,,NM,69.3679458239,0.4487264245,,NM,73.6230248307,0.4762516218,,NM,72.8668171558,0.4713598758,,NM,2085572,322405452,0.0064687864
NY,74.5582951307,4.5664395883,,NY,75.2211621856,4.6070379195,,NY,76.4626440342,4.6830744203,,NY,70.9602279767,4.3460703287,,NY,76.6063684797,4.6918770491,,NY,75.062569694,4.5973246739,,NY,19746227,322405452,0.0612465666
NC,73.4898253485,2.266649564,,NC,74.4164930834,2.2952308133,,NC,74.9372429632,2.3112923223,,NC,69.7377557015,2.1509243328,,NC,75.3378197938,2.3236473291,,NC,73.7862522032,2.2757922691,,NC,9943964,322405452,0.0308430392
ND,69.0255220418,0.1583196915,,ND,72.0030935808,0.1651491684,,ND,72.1191028616,0.1654152519,,ND,66.3573085847,0.1521997706,,ND,72.5444702243,0.1663908914,,ND,73.6658932715,0.1689630321,,ND,739482,322405452,0.0022936399
OH,74.7219297844,2.6871078883,,OH,74.5525701469,2.6810174725,,OH,75.6076349155,2.7189591166,,OH,70.0553851787,2.5192922436,,OH,75.1796585344,2.7035684714,,OH,74.5983430219,2.6826635308,,OH,11594163,322405452,0.0359614359
OK,72.1167079549,0.8674551582,,OK,72.1855216075,0.8682828825,,OK,72.9699972475,0.8777189406,,OK,67.1001926782,0.8071140503,,OK,72.1579961464,0.8679517928,,OK,71.2427745665,0.8569430584,,OK,3878051,322405452,0.0120284908
OR,71.7205354228,0.8831974341,,OR,71.5572967679,0.8811872433,,OR,73.1635651322,0.9009675209,,OR,68.1880509305,0.839696905,,OR,73.0656219393,0.8997614064,,OR,71.9033627163,0.8854488478,,OR,3970239,322405452,0.0123144289
