,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,45.861824411408854,17.465460133055586,18.0,100.0,0.08027066110065209,0.08027066110065209,0.06913863196092876,0.07893372622847944,0.07759679135630679,0.06799268778478076,0.07104853892117541,0.07492292161196147,0.07655998472074432,0.08589124444080652,0.055469155002592016,0.04720198630323866,0.04411885078169763,0.03249570270933944,0.029030585795749093,0.020845270251834875,0.003328694987858449,0.0014460724127581784,0.0016643474939292244,0.0017734850345147472
AK,42.87860075769595,16.109399997315016,18.0,100.0,0.08842652795838751,0.09585732862715958,0.08545420769087869,0.08954114805870332,0.07783763700538733,0.07746609697194873,0.073936466654282,0.0744937767044399,0.0873119078580717,0.0863830577744752,0.051458294631246515,0.03603938324354449,0.02842281255805313,0.014490061304105517,0.01746238157161434,0.010588890953000186,0.001857700167193015,0.0009288500835965075,0.000743080066877206,0.0013003901170351106
AZ,45.15817206790049,17.844002680004955,18.0,100.0,0.08749810116967947,0.08578915388120918,0.07599118942731277,0.08567522406197782,0.08035849916451467,0.0691743885766368,0.06864271608689047,0.06906045875740544,0.06642108461187908,0.0777191250189883,0.05172413793103448,0.04519216162843688,0.041774267051496276,0.03324851891234999,0.028976150691174235,0.02191250189883032,0.004329333130791433,0.0021456782621904905,0.0024305028102688743,0.0019368069269330092
AR,46.25256820788575,17.778652484116765,18.0,100.0,0.08190118152524167,0.07545649838882922,0.06910132474042248,0.08158789831722163,0.07653061224489796,0.06663981382026495,0.0700859291084855,0.0713390619405657,0.07250268528464017,0.08114035087719298,0.05813641245972073,0.05012531328320802,0.04645542427497315,0.035266738274257074,0.03101503759398496,0.022735409953455066,0.004117436448263516,0.002058718224131758,0.0018349445041174364,0.0019692087361260296
CA,43.55450074633789,17.080785804234278,18.0,100.0,0.0920531272758693,0.09181242516633133,0.08128016491180427,0.09016454149334058,0.08519620307851826,0.0747071457667288,0.07555886092355547,0.0733369952970511,0.07189278263982324,0.07534901805883007,0.04544332391097725,0.03722859294187353,0.03234666041252639,0.023925172503178504,0.022761778973744956,0.01806191598879192,0.0031445570463999603,0.0018422969153098886,0.002021280535222742,0.0018731561601224495
CO,44.30388377616753,16.811658457221018,18.0,100.0,0.08043013920601016,0.08561046868478554,0.07937443225061992,0.09007880975178612,0.08168225675775208,0.07264736932557511,0.07483243720998747,0.07718936436620756,0.0762073113844492,0.08705899683287914,0.0507230365078196,0.039257567945790675,0.03380717389703174,0.02501779971029437,0.021826127519579682,0.01647393876899659,0.002676094375291547,0.0017676953671650585,0.0014239768235496306,0.0019150033144288135
CT,46.053467079571675,17.36325443197111,18.0,100.0,0.07907674069941774,0.07398626268261219,0.06673407482305359,0.07307973920016736,0.07499738502841602,0.07517171646734772,0.07991353160628988,0.08608486454447195,0.08029706077193961,0.08566646909103588,0.05034691956347408,0.044105854049719326,0.03699313134130609,0.029810676057320178,0.028137094243575887,0.02409260486036052,0.004079355671001709,0.002510372720616436,0.002336041281684739,0.0025801052961891145
DE,46.47922089800438,17.887299295388846,18.0,100.0,0.08274097241967586,0.07605914131361956,0.06795564401478534,0.07549047483650839,0.07051464316178561,0.06681831106056298,0.0752061415979528,0.0730736423087859,0.07634347455217515,0.08231447256184247,0.058146147284617575,0.04748365083878305,0.04378731873756042,0.03426215524594825,0.03355132214955928,0.025305658231447255,0.003696332101222633,0.002416832527722491,0.0025589991470002845,0.002274665908444697
DC,41.89211173114327,17.49126825675409,18.0,100.0,0.09723820483314154,0.12485615650172613,0.10759493670886076,0.10414269275028769,0.07403145377828922,0.0661680092059839,0.05638665132336018,0.05964710395090142,0.05811277330264672,0.0698120444955888,0.04353663214422708,0.031070195627157654,0.03164556962025317,0.027809742999616416,0.02186421173762946,0.01668584579976985,0.004411200613732259,0.0017261219792865361,0.002109704641350211,0.0011507479861910242
FL,47.46106592476647,18.174747538166546,18.0,100.0,0.07466728007623805,0.07470014130327626,0.06427656008675364,0.07269560645394499,0.07211724885807236,0.06678058558706582,0.07133515165456278,0.07391147185435905,0.07292563504321252,0.08158785449048668,0.05591009168282344,0.050626006375078046,0.050165949196543,0.039131149157109524,0.03704774736288653,0.028641845486510466,0.004876606092471493,0.002773487562025566,0.0029575104334395846,0.002872071243140219
GA,44.05163785607379,16.730133228013834,18.0,100.0,0.0846264813341782,0.08438380542785111,0.0771574562172219,0.08938562549714855,0.08658137057959095,0.07636201852426085,0.07735968613916115,0.07671255038895555,0.0752160489666051,0.07649683847222034,0.04858910924460383,0.041699809903873376,0.035080150459061925,0.025696682081080717,0.022730643225971715,0.01581437989564936,0.002655952974802152,0.0011190055680638507,0.0011864155420436007,0.0011459695576557507
HI,45.858482367588635,17.620202946671224,18.0,100.0,0.07362857663568434,0.08629487880444688,0.07435757244395845,0.07982504100601422,0.07417532349188992,0.06952797521414252,0.07025697102241663,0.07463094587206123,0.07900492072170585,0.0847457627118644,0.05759066885365409,0.04446874430472025,0.037452159650082015,0.031073446327683617,0.027884089666484417,0.02114087843994897,0.004829597229815928,0.0024603608529250955,0.0031893566611991982,0.0034627300893019866
ID,45.19073909680524,17.665753927545097,18.0,100.0,0.08826530612244898,0.08477891156462584,0.07508503401360545,0.08435374149659863,0.0766156462585034,0.06683673469387755,0.06811224489795918,0.06938775510204082,0.07185374149659864,0.08758503401360544,0.050595238095238096,0.04532312925170068,0.04277210884353742,0.031122448979591835,0.02806122448979592,0.018962585034013605,0.004081632653061225,0.0019557823129251702,0.002210884353741497,0.0020408163265306124
IL,44.93144048033424,17.266246321893984,18.0,100.0,0.08011907334996954,0.08449099090248167,0.07551136698563653,0.0857583557660189,0.08212327825044702,0.07176821959798008,0.07402786237793017,0.07583557660189023,0.07570785766215393,0.08267345214469574,0.04954512408386222,0.04100760418918122,0.037067966125007366,0.0283241310199831,0.025720629556127562,0.02077888904171497,0.0037431473876564556,0.0019256086298705126,0.001797889690134203,0.002072976637258562
