,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,97.91819186377538,15.056890456014836,68.0,144.0,0.008867425172573737,0.044991951106381815,0.06155357289023492,0.0669558811492183,0.08128018335106818,0.08962920520586068,0.09118441515920439,0.09391285367384246,0.09287604703828,0.08220785244604513,0.06894764126490409,0.060735041335843495,0.04583776704591962,0.029548989113530325,0.025429046956426837,0.021991214427982866,0.017352868953098143,0.011732285612943712,0.004038089001664347,0.0009276690949769447
AK,97.15309767109434,14.8537547487797,68.0,140.0,0.011517741036596692,0.04625673416310608,0.058889095300018575,0.060561025450492294,0.07152145643693109,0.09028422812558053,0.08749767787479101,0.09288500835965076,0.0852684376741594,0.07858071707226454,0.07319338658740479,0.06353334571800111,0.05554523499907115,0.031209362808842653,0.025264722273825004,0.0247074122236671,0.018019691621772246,0.015047371354263421,0.009288500835965075,0.0009288500835965075
AZ,97.37147597840824,14.38505980440039,68.0,144.0,0.00932325687376576,0.03928679933161173,0.06089548837915844,0.06547166945161781,0.08502962175300015,0.0990999544280723,0.1002772292267963,0.09756190186844904,0.09228315357739632,0.08214339966580586,0.06801610208111804,0.05981315509646058,0.04211605650919034,0.030210390399513898,0.024912653805255962,0.020488379158438402,0.012437338599422755,0.008487771532735834,0.001955795230138235,0.0001898830320522558
AR,97.67899604592291,14.793566986456174,68.0,143.0,0.010069817400644469,0.04390440386680988,0.06095596133190118,0.060911206587898316,0.07912638739706408,0.0947905477980666,0.09044933762978875,0.09510383100608664,0.08995703544575726,0.08199069101324741,0.07102577873254565,0.06171679197994987,0.049230218403150734,0.03262620837808808,0.025554958825635517,0.020452918009308988,0.014411027568922305,0.012352309344790547,0.004699248120300752,0.0006713211600429646
CA,97.16800564400312,14.228408721938477,68.0,144.0,0.008424573833829139,0.03967573105550961,0.06052423685087579,0.0672916692382704,0.08824201054151803,0.09855208423339464,0.0989069655487391,0.09952723636947157,0.0931918334094528,0.08338167948353968,0.06953822226062484,0.05840420673225285,0.04114771703306876,0.028143631269055582,0.024943527581993013,0.01889511559873107,0.011606161974004173,0.007363015812277042,0.002052139780035303,0.0001882413933566218
CO,97.25542853412172,14.535439835519051,68.0,144.0,0.009427708624880312,0.04392231960914291,0.061034592816282436,0.06641133289140949,0.08637155974564828,0.09943286440303455,0.09751786108860573,0.09602023029142422,0.0897841938572586,0.07934988092607596,0.06783530971495912,0.06132920871080995,0.043259433846456016,0.02936338415457514,0.02509145368392625,0.019395546389727725,0.013920601016424837,0.007979180476786722,0.0024060298053079966,0.00014730794726375488
CT,97.81675209604153,14.675311983029154,68.0,143.0,0.007740315888567344,0.04194414420696629,0.05784317143753705,0.06101600362609393,0.0796694675917855,0.09448763990097975,0.09494090164220216,0.09783480352846832,0.09284892437502179,0.08224957288797462,0.06579268505282243,0.06244552142533384,0.04870820403751613,0.03246051392908197,0.026010250688609182,0.02227955789547087,0.015306300338202992,0.011505874969491998,0.004358285973292423,0.0005578606045814302
DE,97.50150351762275,14.9085595619775,68.0,144.0,0.00995166334944555,0.04464031845322718,0.06937731020756327,0.06383281205572931,0.08032413989195338,0.09709980096673301,0.09212396929201024,0.08899630366789878,0.09198180267273244,0.08274097241967586,0.06696047767984077,0.06482797839067388,0.04378731873756042,0.03028148990617003,0.02388399203866932,0.020756326414557862,0.013363662212112597,0.010378163207278931,0.00398066533977822,0.0007108330963889679
DC,96.97974543525177,15.142456248042446,68.0,144.0,0.017069428461833524,0.043153049482163405,0.06712696586114307,0.07518220176448025,0.08649789029535865,0.09551208285385501,0.09666283084004602,0.09071729957805907,0.08208668968162638,0.0728807057920982,0.06712696586114307,0.05983889528193326,0.04276946682009973,0.02627541235136172,0.02454929037207518,0.024932873034138856,0.01169927119294208,0.009781357882623706,0.004411200613732259,0.0017261219792865361
FL,98.00162472648466,14.42936298540404,68.0,144.0,0.007209753212184943,0.03750123229601393,0.05671847786796359,0.06269264894351155,0.08012224376458217,0.09692090302651901,0.09680260260918143,0.09821563537182479,0.09576418783477375,0.08679307285334034,0.07295849627025074,0.06086556472018665,0.04437580099240906,0.030298051329236634,0.025861785679077258,0.01997305379382866,0.013906871282573691,0.009496894614044888,0.0030232328875160197,0.0004994906509809076
GA,97.64150680814654,15.031231939142598,68.0,144.0,0.009410432367573105,0.04480066870694188,0.06211155002494169,0.07052431477761449,0.08202445633855986,0.09423914362369055,0.09379423779542422,0.09200113248756286,0.0892912515335769,0.08183570841141655,0.06634489639086999,0.06025103474310059,0.044436654847451226,0.03029404230649967,0.025238294258018417,0.020775753980558965,0.01539643805697491,0.011554069540129157,0.004502986261847303,0.0011729335472476508
HI,97.62011593351107,14.763960848054687,68.0,144.0,0.0110260616001458,0.04446874430472025,0.059322033898305086,0.06642974302897758,0.08137415709859669,0.09467833059959906,0.09449608164753052,0.09085110260616001,0.09194459631857117,0.08511026061600145,0.06788773464552579,0.061053398942956076,0.04620010934937124,0.03171131765992345,0.02761071623838163,0.01913613996719519,0.013213049024968107,0.010843812648077274,0.002369236376890833,0.0002733734281027884
ID,97.21595778388068,14.65326245419406,68.0,139.0,0.009268707482993197,0.04107142857142857,0.05688775510204082,0.06326530612244897,0.06862244897959184,0.08707482993197278,0.09311224489795919,0.08894557823129251,0.08554421768707483,0.0836734693877551,0.06981292517006803,0.06556122448979591,0.05119047619047619,0.038945578231292514,0.026785714285714284,0.024914965986394557,0.018962585034013605,0.01403061224489796,0.00901360544217687,0.0033163265306122448
IL,97.56877017314473,14.764393263618327,68.0,144.0,0.009048395653626235,0.04417110408111135,0.06124614387047335,0.06637455052757747,0.08302713536242705,0.09585797653901322,0.09613306348613758,0.0950130666299884,0.08888255752264555,0.08200538384453658,0.06920401626942801,0.06046018116440375,0.04347356217947458,0.029866582830644688,0.025867997563515613,0.021564851747784566,0.014127679641601006,0.01024698878038237,0.003153675358104258,0.00027508694712435894
IN,97.64090766649824,14.89770160557697,68.0,143.0,0.010167974946109732,0.045918574856631554,0.060255419530646274,0.06381421076178469,0.07953390002847033,0.0921421889616464,0.09210151706186195,0.09035262537113109,0.09094236791800545,0.0830520193598243,0.0694676048318217,0.06269573351771261,0.04685402855167365,0.03046325293854476,0.026416398909993085,0.023874405173465653,0.0152519624191646,0.011550819538780656,0.004616260625533819,0.0005287346971977061
IA,97.59020399564399,14.768630035544623,68.0,142.0,0.009414316702819957,0.045639913232104125,0.0582646420824295,0.0610412147505423,0.07774403470715835,0.09101952277657267,0.09114967462039046,0.09154013015184381,0.08954446854663774,0.08377440347071584,0.06841648590021691,0.06655097613882863,0.04819956616052061,0.03466377440347072,0.025726681127982647,0.02260303687635575,0.015618221258134491,0.012321041214750542,0.0065509761388286335,0.00021691973969631235
KS,97.51677466704372,14.731310167652815,68.0,144.0,0.009063305115936695,0.04724880382775119,0.05948656606551343,0.06647957305852042,0.07949944792050055,0.09882223040117777,0.09205925653294074,0.09840817077659184,0.09086308428413692,0.08041958041958042,0.06910195068089806,0.060820758189179244,0.044764446080235554,0.030962458594037543,0.024337504600662495,0.01959882223040118,0.015090172984909826,0.01021347073978653,0.0025303643724696357,0.00023003312476996689
KY,97.60792365180865,14.930246317781124,68.0,144.0,0.010905455757171853,0.048620156917391175,0.0597376632031747,0.06364545151616129,0.08369937293629397,0.09754324316137045,0.08915210081487988,0.09199963648480809,0.08984883826603253,0.08369937293629397,0.06818939141498288,0.06134318863409167,0.04634818696798037,0.02953560934234043,0.02381024506982521,0.021689739783708462,0.01599466844385205,0.01129926388173639,0.0025748992759989093,0.0003635151919057284
LA,97.85117947687534,15.036953706563047,68.0,144.0,0.008818548151608947,0.04555276528645681,0.06000700811773638,0.0690883606844595,0.08149856917596215,0.09236115166734801,0.09212754774280207,0.09154353793143725,0.09011271389359342,0.08144016819482568,0.06978917245809729,0.061408631665011974,0.04607837411668516,0.031098522455177247,0.02511242188868773,0.021053553699702156,0.01585586637855516,0.011738597208433102,0.004584477019213923,0.0007300122642060387
ME,97.83779839550512,14.934517292481788,69.0,140.0,0.019088430074016362,0.04421503700818075,0.06242695753798208,0.0528827425009739,0.07489287105570705,0.08443708609271523,0.09105960264900662,0.08151538761199845,0.09076743280093494,0.0835605765485002,0.06817296455005843,0.06330346708219711,0.05005843396961433,0.0347682119205298,0.0273665757693806,0.02395792754187768,0.019477989871445268,0.01597195169458512,0.009154655239579276,0.00292169848071679
MD,97.81348022188297,14.974236228996967,68.0,144.0,0.008809408448222701,0.04459763026912743,0.061709906179800024,0.06615865744615249,0.08126679293485442,0.09199224772056556,0.096044575606748,0.09379817645245121,0.08904109589041095,0.08150905166718055,0.07018896181121438,0.06078491829273664,0.04558868871955248,0.030018059287318856,0.025216931683037486,0.021230674360216712,0.014909923798616923,0.011518301546051183,0.004867198167643042,0.0007487997180989297
MA,97.52490121901701,14.706499969895386,68.0,144.0,0.009273159144893111,0.04701187648456057,0.06037054631828979,0.06394299287410926,0.0845605700712589,0.09225653206650831,0.09611401425178147,0.0939477434679335,0.09200950118764846,0.08349643705463183,0.06850356294536818,0.06181472684085511,0.0442375296912114,0.030099762470308787,0.025406175771971497,0.02021852731591449,0.014232779097387174,0.009425178147268409,0.0028503562945368173,0.00022802850356294538
MI,97.83720741124789,14.957259234140254,68.0,144.0,0.00950358375365012,0.04657552428988585,0.06113618263870454,0.06267586939208919,0.07979824794265994,0.09527475444650915,0.09165118131138837,0.09320414122644013,0.09206264932306875,0.08316963100610565,0.0679320414122644,0.06081762675869392,0.046708255906556945,0.03026280860100876,0.02758162994425272,0.021157419697371914,0.015303955402176798,0.01081762675869392,0.00386249004512875,0.000504380143350146
MN,97.44594923001912,14.927012831275123,68.0,144.0,0.010774845452965566,0.049951587675960175,0.06355669207279227,0.062141562600859006,0.08240025819906155,0.09692395541100822,0.09260408649668561,0.09171032051441198,0.0899227885498647,0.08093547506144641,0.06926686362620721,0.05985749397949303,0.044340723453908985,0.029097048089575212,0.026043347650140273,0.021673825070135804,0.016534670672062365,0.009707291640805383,0.0023585491198887757,0.00019861466272747585
MS,97.83922183833762,15.171067251387466,68.0,144.0,0.009760947173392381,0.04681639477608568,0.06109629897419676,0.06828144064349947,0.07971440191603778,0.09309051470920511,0.0914185006100592,0.09539518279181165,0.0879389037010258,0.08093452031271182,0.06819106150300511,0.05874644132134303,0.0460481720818835,0.031180803470558995,0.02386009309051471,0.022007320710380043,0.017533553255908538,0.011523340413032672,0.0057390754213927425,0.0007230331239549912
MO,97.6461043605421,14.972326237880742,68.0,144.0,0.010378644619376402,0.048375038480144246,0.059787149830687364,0.0658340296407054,0.08153392849289766,0.09435331369013589,0.09266018734333084,0.0921764369585294,0.09189058445841945,0.08243546330093672,0.06704340560270901,0.06062271867716258,0.043823387132239766,0.030982013281146928,0.02539689520207573,0.021922687893047188,0.016447513083249043,0.010730463081050178,0.003276309424337042,0.0003298298078191653
MT,97.56205993052284,14.725804055620001,68.0,139.0,0.008669381321423881,0.04308419808222777,0.053067122028109814,0.061211086299750424,0.06764744515959543,0.08538027058978064,0.085117562064889,0.08735058452646788,0.09207933797451727,0.08524891632733482,0.07342703270721135,0.06265598318665441,0.05398660186523053,0.038224090371732564,0.02850387495074215,0.02600814396427164,0.0224615788782346,0.013792197556810718,0.008669381321423881,0.0034152108235912257
NE,97.35507840313113,14.649979009830993,68.0,143.0,0.010004287551807918,0.04780620265828212,0.0592396741460626,0.06209804201800772,0.07917679005287981,0.09389738459339717,0.09596970130055738,0.09011004716306989,0.09632699728455052,0.08546519937115907,0.0676718593683007,0.05909675575246534,0.04716306988709447,0.030870373017007288,0.024010290124339,0.0227240245819637,0.014220380162926968,0.010433042732599686,0.0033585822495355152,0.00035729598399313994
NV,97.46441199706308,14.529290229965804,68.0,144.0,0.00880141530296329,0.042989827509951346,0.059354268022998674,0.06519239274657232,0.08593542680229986,0.09774436090225563,0.09513489606368863,0.09871738168951791,0.09022556390977443,0.08390092879256966,0.0687748783724016,0.06130030959752322,0.04232640424590889,0.028217602830605926,0.02547545333923043,0.019991154356479433,0.014329942503317117,0.008978328173374612,0.002476780185758514,0.00013268465280849183
NH,97.71615037100415,14.994870714746723,68.0,141.0,0.010923046644361346,0.04566030308994293,0.05973233615430033,0.056976973036803776,0.07016335367053729,0.09437118677425703,0.08649872072426687,0.0876795906317654,0.08827002558551467,0.08502263333989372,0.06947451289116316,0.06524306238929345,0.0483172603818146,0.03690218460932887,0.027356819523715804,0.024306238929344616,0.01859870104310175,0.015843337925605196,0.0063963786656170045,0.0022633339893721707
NJ,97.60310324390343,14.600023549367394,68.0,144.0,0.008633316432877021,0.04277223818376429,0.059278350515463915,0.06354571573432483,0.08534730437721819,0.09650160554334967,0.09552982930539125,0.09576925243648245,0.09250183088276717,0.08424877471691736,0.0703199819728466,0.06081347529716636,0.04346234014985071,0.02935045912906315,0.02491408934707904,0.019703115317446906,0.013886541603289955,0.009703678665990648,0.00312658441777928,0.0005915159709312151
NM,97.6244572959818,13.953409587444325,68.0,143.0,0.0074487895716946,0.0340274250888776,0.05547091021951357,0.060549630382032614,0.08385531290559224,0.0925455674059026,0.09858360137689746,0.09779357824050562,0.09909147339314937,0.090401218892839,0.07087636137915468,0.06873201286609108,0.04457987698211162,0.028835844478302577,0.02494215902037131,0.019694148185768298,0.011793916821849782,0.007674510467806557,0.002877941425427459,0.00022572089611195756
NY,97.54390341258363,14.676175771725465,68.0,144.0,0.009273943749225622,0.042894312972370216,0.060711188204683436,0.06594597943253624,0.08375046462644034,0.09628298847726428,0.09539710073101226,0.09732375170363028,0.09023664973361417,0.08257960599677859,0.0683868169991327,0.061256349894684675,0.04348283979680337,0.029290050799157478,0.02562259943005823,0.01992937678106802,0.014124643786395738,0.009732375170363029,0.003351505389666708,0.00042745632511460786
NC,97.7037461032852,14.932819985136197,68.0,144.0,0.009466839357483343,0.045050939340125246,0.06194170349698904,0.06656162792250277,0.08126260131120398,0.09508231743954709,0.09326639338790008,0.09179763128730321,0.09008852629751779,0.08323875395564338,0.06959261880282537,0.06052635092732298,0.044049510635172845,0.03124457559451484,0.024568384228165516,0.021417221903248636,0.015942744982842188,0.009987582284058591,0.004072476733473088,0.000841200112160015
ND,97.44296565045686,14.952218182080783,69.0,139.0,0.022041763341067284,0.04814385150812065,0.06071152358855375,0.05877803557617943,0.07095901005413767,0.08449342614075793,0.08584686774941995,0.07733952049497293,0.08062645011600927,0.08468677494199536,0.07405259087393658,0.06438515081206496,0.051430781129157,0.037122969837587005,0.02668213457076566,0.023781902552204175,0.019334880123743233,0.016241299303944315,0.010440835266821345,0.002900232018561485
OH,97.76633291467246,14.960856776320426,68.0,144.0,0.010642071656615822,0.04750025746947557,0.062273283822906776,0.06209019441806177,0.07992996830264679,0.09294075913444484,0.09148748698348762,0.09239149091990982,0.09211685681264233,0.08288228495577246,0.06953964457769285,0.06221606838389271,0.04552060327958896,0.031102312648044948,0.025186236253990777,0.022314021215484786,0.016088981450754672,0.00996692947624987,0.003352824726224124,0.00045772351211250843
OK,97.36004254055793,14.76933588505277,68.0,144.0,0.011835541028728712,0.046069155341476,0.06475141923275417,0.06506107001548254,0.07875451574058145,0.09630139342852227,0.09406502666437296,0.09444348873215207,0.09203509375537589,0.08274557027352486,0.07091002924479614,0.056941338379494236,0.04218131773610872,0.02952004128677103,0.02817822122828144,0.02026492344744538,0.01455358678823327,0.008876655771546534,0.0022707724066746947,0.00024083949767761913
OR,97.37388374729527,14.576307136610753,68.0,144.0,0.00969637610186092,0.04482533463924257,0.06379366634018936,0.06255305256284688,0.08328436173685928,0.0960822722820764,0.09464577211883773,0.09748612471433235,0.09252366960496246,0.08041136141038198,0.07156382631407117,0.05971269996735227,0.044694743715311784,0.030068560235063664,0.02435520731309174,0.019588638589618023,0.014201762977473066,0.00861900097943193,0.001762977473065622,0.0001305909239307868
PA,97.78992442434459,14.871678438472875,68.0,144.0,0.009818024524942409,0.04630365459867819,0.06131235602410245,0.06271061976279814,0.08022412457624561,0.09237594181613334,0.09319075737609271,0.09489080465551408,0.0896397710468871,0.08442897524369021,0.07068776468931384,0.06053777826957318,0.04676638936112425,0.031164180305606134,0.025470530837248137,0.021195264010300877,0.015270247160719855,0.010663018438974338,0.003078192115402026,0.00027160518665311995
PR,97.77083836166443,12.800682664029981,68.0,144.0,0.0016597268730163353,0.01630608857700259,0.04772442710304865,0.06685496316571063,0.08851876656087121,0.10357278047928253,0.10846460705238331,0.1122499490434732,0.10415514078560405,0.09177998427627172,0.0791718836444108,0.06536994438459075,0.036717817313571904,0.026701220044841743,0.025274437294354017,0.014529889642721953,0.006405963369536733,0.0029118015316076055,0.0011356025973269662,0.000495006260373293
RI,97.43977842300598,14.845246337980765,68.0,142.0,0.01009163670107876,0.04686231295673356,0.06252174921702819,0.05985384526157058,0.08061709778447976,0.08769284305764992,0.0898967637165062,0.08954877624405522,0.08711286393689827,0.09070873448555852,0.06913351119359704,0.0606658160306229,0.04906623361558984,0.03120287669643893,0.027143022851177357,0.02169121911611182,0.016355411205196613,0.015427444611993968,0.00394385802111124,0.00046398329660132234
SC,98.00397528815581,15.045432744108648,68.0,144.0,0.009152363201379809,0.04375886722118675,0.058836620580298774,0.06796116504854369,0.0786713773054775,0.0970873786407767,0.09082816368542576,0.09135671961498873,0.0894928644949509,0.08248254374495785,0.07127159429159596,0.05983809497315492,0.04503852894539183,0.03171335577377806,0.026260884079339027,0.02381283556346844,0.016079227751968177,0.011210949453361894,0.0043953598353131,0.0007511057946421119
SD,97.47575815814818,14.729809012473858,68.0,139.0,0.0071535518216602895,0.04441856596240226,0.05955747795707869,0.058226584594909335,0.061387456330061554,0.08817168524371985,0.08667443021127932,0.09233072700049909,0.0911661953086009,0.07902179337880552,0.07070370986524704,0.06920645483280652,0.05290301114623191,0.04225586424887706,0.02495425054067543,0.02545333555148894,0.018798868740642155,0.012976210281151222,0.01064714689735485,0.003992680086508068
TN,97.86552961400396,14.99527505831578,68.0,144.0,0.009396192499387205,0.04687882996976877,0.06052373559931367,0.06219870904485661,0.08039872538606095,0.09490154424381077,0.09296102622763297,0.09198055396682736,0.0917558624070594,0.08217583135877114,0.07122722444644171,0.061218236784050986,0.045244709535092735,0.029455020835035543,0.0251858811994444,0.022326170438761336,0.015462864613121987,0.011949505678568511,0.004064874581256639,0.0006945011847373151
TX,97.28742820626543,14.242711088670914,68.0,144.0,0.007619180415220433,0.03709993077999492,0.0610679800208158,0.06869214029251677,0.08763053448799606,0.09870573530070863,0.09925351951356762,0.09860115831461737,0.09233151900562225,0.08476711701168772,0.07006160082466423,0.05872246761848324,0.04085474256631924,0.02805153155486059,0.02469510828697917,0.019346742426883258,0.012111010960664114,0.007424966012479521,0.002614424652281521,0.0003485899536375362
UT,96.5763513476829,14.640467272767077,68.0,143.0,0.013155262104841936,0.047519007603041216,0.06467587034813925,0.07357943177270908,0.08268307322929172,0.09573829531812725,0.09633853541416566,0.09323729491796719,0.08668467386954781,0.07998199279711884,0.0663265306122449,0.057573029211684675,0.040166066426570626,0.031612645058023206,0.023659463785514204,0.02105842336934774,0.013955582232893157,0.008353341336534615,0.003601440576230492,0.00010004001600640257
VT,97.99059073636103,15.002912706887477,68.0,139.0,0.007574206755373593,0.04114636642784033,0.0593654042988741,0.05527123848515865,0.0646878198567042,0.08290685772773797,0.08904810644831115,0.08904810644831115,0.0849539406345957,0.08167860798362334,0.07123848515864893,0.06775844421699079,0.0526100307062436,0.04012282497441146,0.032958034800409416,0.02354145342886387,0.023950870010235416,0.015762538382804503,0.011463664278403275,0.004912998976458547
VA,97.65598046928052,14.919618410892003,68.0,144.0,0.009191849999203479,0.04651681455402801,0.06128431013333758,0.06585633950902459,0.08294967581603556,0.09534353941981426,0.09276281203702229,0.09161582208911474,0.09051662338903668,0.08290188456820607,0.06864416229907763,0.060185111433259525,0.04498749462348462,0.029789877813709717,0.025632039252544883,0.021713156930527455,0.015086103898172781,0.010768961177576346,0.003695856498813184,0.0005575645580106097
WA,97.39646142855382,14.659123429771554,68.0,144.0,0.01018265011439073,0.046900198777331883,0.0609271274800285,0.0643588493417845,0.0823613246821438,0.09661328432659491,0.09606945955068821,0.09443798522296816,0.09055620147770319,0.08446161347185238,0.06814687019465177,0.05929565315230844,0.0447999099876233,0.030004125567265498,0.024697145857555412,0.020496568278138245,0.01402692870269662,0.009113753141056896,0.002325319731463076,0.00022503094175449124
WV,97.80436446575203,14.775049581460898,68.0,142.0,0.009563409563409564,0.04698544698544699,0.058212058212058215,0.057380457380457384,0.06936936936936937,0.0984060984060984,0.08697158697158697,0.08690228690228691,0.09078309078309078,0.09099099099099099,0.06971586971586971,0.06313236313236313,0.053083853083853084,0.03492723492723493,0.02681912681912682,0.02169092169092169,0.015453915453915454,0.013028413028413028,0.006237006237006237,0.0003465003465003465
WI,97.63626421150728,14.85044154010868,68.0,143.0,0.009879353516958797,0.04461643523787844,0.06159799681311177,0.06330525836558161,0.07905759162303665,0.09253357614386525,0.09226041429547006,0.09194172547234236,0.08936945139995447,0.08449806510357387,0.06995219667653084,0.06171181424994309,0.04691554746187116,0.029933985886637832,0.026246300933302984,0.023651263373548826,0.016366947416344185,0.011677669018893694,0.004142954700660141,0.0003414523104939677
