,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
GA,82.743391905821,19.326353708838248,46.0,164.0,0.01493805023391261,0.06897388537608025,0.0775888800506923,0.11559462338047538,0.12290186455988028,0.12585442142019332,0.10768069243525272,0.09525029323338681,0.07841128173324526,0.059226403138608386,0.043560325185714475,0.02844700901945452,0.025103474310058917,0.01759400320871476,0.011338357623393957,0.0020492632089844014,0.001617839375514001,0.001577393391126151,0.001402127458778801,0.0008898116565327006
HI,80.88902723914461,18.46093257743203,46.0,154.0,0.01530891197375615,0.067614361217423,0.07481319482412976,0.11308547475852014,0.11344997266265719,0.11308547475852014,0.10451977401129943,0.09449608164753052,0.07763805358119191,0.06478950246036086,0.04993621286677601,0.036905412793876435,0.025605977765627848,0.01922726444322945,0.01722252597047567,0.008656825223254967,0.0032804811372334607,0.0,0.0002733734281027884,9.112447603426281e-05
ID,81.10938940378155,18.49796884006191,48.0,137.0,0.027891156462585033,0.061224489795918366,0.056037414965986396,0.08095238095238096,0.0941326530612245,0.0933673469387755,0.09047619047619047,0.08469387755102041,0.0826530612244898,0.06853741496598639,0.061139455782312925,0.049914965986394555,0.03945578231292517,0.03290816326530612,0.022789115646258504,0.015646258503401362,0.015391156462585034,0.012244897959183673,0.00824829931972789,0.002295918367346939
IL,81.69725114988124,18.84785859671182,47.0,164.0,0.030338160454286445,0.07219067455249248,0.09014992238618277,0.11846422887234001,0.12087123965967815,0.12527263081366788,0.10779478513744523,0.0883422081622227,0.07082506435069656,0.0564222977619712,0.04086023618179317,0.027469396577132415,0.022694673137759615,0.01573890318904368,0.009294008999272985,0.000776138172243727,0.0007270155031143772,0.000776138172243727,0.0005403493604228479,0.0004519285559900183
IN,81.6805271888754,18.87005584263413,48.0,164.0,0.04421035506568512,0.07137918412169032,0.09690080123642575,0.118050189124334,0.11890429901980722,0.12018546386301704,0.10340830520193599,0.08476023915077073,0.06979298003009721,0.05535445560662138,0.03963476633993574,0.027209500955789646,0.023813397323788996,0.015821369016146745,0.008581770854516614,0.0006914222963354618,0.0003457111481677309,0.0003457111481677309,0.0004067189978443893,0.00020335949892219464
IA,81.5345747599491,18.666218784171413,48.0,158.0,0.04121475054229935,0.06720173535791757,0.08815618221258134,0.10915401301518438,0.11171366594360087,0.11874186550976139,0.10238611713665943,0.08698481561822126,0.07735357917570498,0.05739696312364425,0.04390455531453362,0.03132321041214751,0.024338394793926247,0.020954446854663775,0.012798264642082429,0.005553145336225597,0.0003036876355748373,0.00021691973969631235,4.3383947939262474e-05,0.0002603036876355748
KS,81.48819909157537,18.62634782178998,46.0,163.0,0.019230769230769232,0.07121825542878174,0.08313397129186603,0.11823702613176297,0.12062937062937062,0.12904858299595143,0.10944976076555024,0.09118513065881487,0.0749907986750092,0.05824438719175561,0.0423721015826279,0.02741994847258005,0.02383143172616857,0.018310636731689364,0.010995583364004417,0.0007821126242178874,0.000368052999631947,0.00023003312476996689,0.00023003312476996689,9.201324990798675e-05
KY,81.85358351080956,18.826894634901898,48.0,163.0,0.041440731877253036,0.07121868468086395,0.09099996970706734,0.11802126563872649,0.11820302323467935,0.11820302323467935,0.10451061767289692,0.0900608887946442,0.07179425040138136,0.05367907667141256,0.04113780255066493,0.02726363939292963,0.024840204780224775,0.01650964829905183,0.00957256672018418,0.0008179091817878889,0.000605858653176214,0.00039380812456453907,0.0005149798551997819,0.0002120505286116749
LA,82.8753364807679,19.516129697207845,48.0,164.0,0.03632541026689248,0.06654791800502248,0.08838988495006717,0.11683116276353443,0.1234888746130935,0.12013081819774572,0.10634818664953571,0.08599544472347136,0.07416924604333353,0.05393330607954214,0.040063073059627405,0.027244057700169362,0.023301991473456754,0.018016702680605033,0.010862582491385855,0.001927232377503942,0.0016352274718215267,0.001985633358640425,0.0018688313963674589,0.0009344156981837294
ME,81.58380201710206,18.611468265766156,48.0,162.0,0.04791585508375536,0.06573821581612778,0.09067004285157772,0.11745227892481495,0.11141410206466693,0.12368523568367744,0.10518114530580444,0.08648227502921699,0.07304246201791975,0.05755746007012076,0.04226723802103623,0.025029216984807166,0.024931827035449942,0.017432800934943513,0.010225944682508765,0.0006817296455005844,0.0,9.738994935722633e-05,0.0,0.00019477989871445267
MD,82.54963978706868,19.278690633330513,48.0,164.0,0.03669118618684755,0.06796458617803815,0.09194820067832445,0.11822226137514866,0.122428753909175,0.12022640179711933,0.1028718671541206,0.08668457913051139,0.07327225476809232,0.05624807294190195,0.04036911421398053,0.02695678985156147,0.02314672069770515,0.016451570277055894,0.009514161124080519,0.0017618816896445403,0.0014095053517156322,0.0014755759150773026,0.0015856935206800863,0.0007708232392194864
MA,81.35297895282298,18.738687532756778,46.0,164.0,0.019382422802850355,0.07629453681710213,0.08473159144893111,0.12254631828978622,0.11929691211401425,0.12600475059382424,0.11118289786223277,0.09016627078384798,0.07420427553444181,0.05628503562945368,0.0412541567695962,0.027629453681710214,0.022346793349168646,0.016475059382422802,0.009900237529691212,0.000836104513064133,0.0004370546318289786,0.00047505938242280285,0.00036104513064133016,0.00019002375296912113
MI,82.03923066034194,18.976583015178722,48.0,164.0,0.04187682505972923,0.07029466418900983,0.09311122909477038,0.11738784178391293,0.11883461640562783,0.12037430315901247,0.10570745951685692,0.08792142288293071,0.07018847889567295,0.05455269445181842,0.040483143084682774,0.026652508627555083,0.02377223254579241,0.01643217414388107,0.009277940005309265,0.000756570215025219,0.0007034775683567826,0.0007300238916910008,0.0004911069816830369,0.00045128749668170957
MN,81.70096605711016,18.76367612987221,47.0,164.0,0.031058367884009036,0.0727177933910971,0.0871918369373619,0.11805159015864346,0.12309143722535316,0.12199905658035204,0.1109511159661362,0.0864718587849748,0.07457980585416718,0.053253556443804466,0.04116288885026937,0.027433650289232604,0.024007547357183644,0.01678293900047171,0.009508676978077906,0.0004717098239777552,0.0003227488269321483,0.0004468829911368207,0.0002730951612502793,0.00022344149556841034
MS,83.04133532773312,19.504789707807106,46.0,164.0,0.013014596231189841,0.06828144064349947,0.07713859641194812,0.11211532378327083,0.12558181571693253,0.1263500384111347,0.10863572687423742,0.09300013556871074,0.07831352523837498,0.06091554069320801,0.042749333453838856,0.02860499796646934,0.025667675900402188,0.018256586379863528,0.01215599439649329,0.0023498576528537215,0.0023046680826065346,0.0022142889421121604,0.0012653079669212345,0.0010845496859324868
MO,81.78058164136198,18.915932840611227,48.0,164.0,0.044636967324860374,0.06871454329565944,0.09444126830555434,0.1197062315845024,0.12098157350806983,0.12018998196930383,0.10576542504067901,0.08236949733937288,0.07056159021944676,0.05398214521307006,0.041668499054487884,0.025748713663749506,0.02328598443203307,0.016513479044812877,0.008773472887989797,0.0006816482694929416,0.0004617617309468314,0.0006376709617837196,0.0005497163463652756,0.0003298298078191653
MT,81.634814443929,18.556654572386883,48.0,135.0,0.026270852489163273,0.05385524760278471,0.0441350321817943,0.08275318534086432,0.09496913174832523,0.08892683567581768,0.08643110468934717,0.09063444108761329,0.07894391172993563,0.07355838696965716,0.05897806383817155,0.04912649415473532,0.04794430579272298,0.03231314856167083,0.025482726914488375,0.017076054117956128,0.019309076579535005,0.0144489688690398,0.008012610009194798,0.0068304216471824514
NE,81.45654254372788,18.634492281078202,48.0,164.0,0.04787766185508075,0.06488495069315421,0.09989995712448192,0.11897956266971559,0.11897956266971559,0.12505359439759897,0.10282978419322567,0.08460768900957553,0.07031584964984994,0.051522080891810776,0.04001715020723167,0.029655566671430614,0.021866514220380162,0.014363298556524224,0.00814634843504359,0.00014291839359725596,7.145919679862798e-05,0.00021437759039588395,0.0005002143775903959,7.145919679862798e-05
NV,80.94525068773676,18.441355196809972,48.0,164.0,0.04201680672268908,0.07045555064130915,0.105484298982751,0.1241486068111455,0.12330827067669173,0.11804511278195488,0.10840336134453782,0.08416629809818664,0.06802299867315348,0.05112781954887218,0.037859354268023,0.023706324635117206,0.017912428129146396,0.016275984077841664,0.006413091552410438,0.0007076514816452897,0.0004422821760283061,0.0004422821760283061,0.00048651039363113664,0.0005749668288367979
NH,81.86956543202794,18.865071056318367,48.0,150.0,0.03926392442432592,0.06317654005117103,0.07045857114741193,0.0945679984255068,0.1039165518598701,0.1004723479629994,0.10598307419799252,0.09063176540051171,0.07606770320802991,0.06937610706553828,0.049990159417437514,0.04074001180869907,0.030210588466837236,0.02027160007872466,0.02125565833497343,0.015449714623105688,0.007970871875615036,9.8405825624877e-05,0.0,9.8405825624877e-05
NJ,81.68498882577781,18.828466014722874,46.0,164.0,0.01825249281730607,0.07243253901188665,0.08405160272660696,0.11950030984169906,0.12434510731789758,0.12457044673539519,0.11066982141851163,0.09081178525153512,0.07574221170638273,0.05729254689876627,0.04205396879049068,0.027406906653146303,0.023153625147878994,0.016717368035603627,0.00937975325333784,0.0008731902428032223,0.0007886879612416202,0.0006901019660864177,0.0007323531068672188,0.0005351811165568137
NM,80.01449714359623,17.83616481033899,46.0,163.0,0.02054060154618814,0.074487895716946,0.0915298233733988,0.1271372947350601,0.12668585294283619,0.12905592235201174,0.11630269172168614,0.08842616105185938,0.06856272219400711,0.05327013148242198,0.038767563907228714,0.02584504260481914,0.018283392585068562,0.012809660854353592,0.006828057107386716,0.0009028835844478302,5.643022402798939e-05,0.00028215112013994694,0.00011286044805597878,0.00011286044805597878
NY,81.46946740212015,18.803151456459254,46.0,164.0,0.018708957997769792,0.07492256225994301,0.0859001362904225,0.1187709081898154,0.12370833849584933,0.1268368231941519,0.10979432536240863,0.09054640069384215,0.07433403543550984,0.055786147937058606,0.0420084252261182,0.026638582579605996,0.02262421013505142,0.01657787139140131,0.009230578614793705,0.0010593482839796804,0.0007557923429562631,0.000731012266138025,0.0006690620740924297,0.0003964812290918102
NC,82.22302146577326,19.1012676839336,47.0,164.0,0.027692841787617,0.07058069512504507,0.08641662104602567,0.11831546339444274,0.12278851160989679,0.12217430200419264,0.10815430013485906,0.08927403095082317,0.07351821932623877,0.056160121773730524,0.04137903408863312,0.026985165502783973,0.023673774585074706,0.01730468802157745,0.010721963334357015,0.0013218858905371664,0.0012284192114082758,0.0010548382358831934,0.0008946096430908095,0.00036051433378286353
ND,81.58163713575448,18.458648869254564,48.0,151.0,0.03944315545243619,0.06129156999226605,0.06457849961330239,0.1034416086620263,0.10189481825212683,0.11736272235112143,0.11214230471771075,0.08565351894818252,0.07521268368136118,0.06612529002320186,0.050270688321732405,0.04137664346481052,0.024555297757153906,0.019334880123743233,0.018561484918793503,0.011794276875483373,0.006573859242072699,0.0,0.00019334880123743234,0.00019334880123743234
OH,81.99813360460374,18.951724709311012,48.0,164.0,0.042648388241082975,0.07098147364084724,0.09410795409033174,0.1169369142569431,0.11733742233004153,0.11988923091006877,0.10471569648353912,0.08610923571616565,0.07234320108938196,0.05668905697513417,0.03986771790499948,0.026490748263511426,0.023229468239709804,0.01725617640664157,0.008765405256954536,0.0005835974779434482,0.0006293698291546991,0.000595040565746261,0.00048060968771813386,0.00034329263408438133
