,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
GA,120.93138995966058,68.66751310224315,12.0,400.0,0.018551224839227214,0.05812087956534049,0.15004112008412765,0.16506006228681597,0.14683240532269154,0.11374759009343022,0.08667574454316261,0.06881210143852884,0.05032828657328138,0.03730467960039367,0.024739460450568265,0.01759400320871476,0.011607997519312957,0.008817224596551305,0.008871152575735106,0.007671255038895555,0.007954376929610506,0.007428579132568455,0.006767961387566904,0.003073894813476602
HI,122.10269129385607,69.0352813637018,12.0,398.0,0.01685802806633862,0.053490067432112265,0.1479861490796428,0.1638418079096045,0.1491707672680882,0.11199198104610898,0.08583925642427556,0.06861673045379989,0.05112083105522143,0.0401858939311099,0.026881720430107527,0.017313650446509933,0.013759795881173683,0.010205941315837434,0.009841443411700382,0.0063787133223983964,0.008565700747220703,0.008201202843083653,0.0063787133223983964,0.0033716056132677237
ID,121.75357480338545,68.69315796298204,12.0,399.0,0.017687074829931974,0.052551020408163264,0.1522108843537415,0.1614795918367347,0.14634353741496597,0.11037414965986395,0.09251700680272108,0.07142857142857142,0.05204081632653061,0.0358843537414966,0.025255102040816328,0.01717687074829932,0.014370748299319728,0.009948979591836734,0.00739795918367347,0.006802721088435374,0.008078231292517007,0.00824829931972789,0.0068877551020408165,0.0033163265306122448
IL,121.1773930060675,68.64445974519005,12.0,400.0,0.01865678973532706,0.05889808028609043,0.14696520150118877,0.16502269467313777,0.14638555400546244,0.11333582221523589,0.08795905134301378,0.06878156131491561,0.05169669699172774,0.03760831548543021,0.024924842316232095,0.01634802428624762,0.012506631560332462,0.009264535397795374,0.008920676713889925,0.00790874972982532,0.007446996640009432,0.00778103079008901,0.006719981136895054,0.002868763877154029
IN,121.62496161313139,68.30905884714691,12.0,399.0,0.01712286980924879,0.05677797209907675,0.14412087688615935,0.1651482490747143,0.14708992557042339,0.1156505470370521,0.08728189693740594,0.07105380892341481,0.05016878838410542,0.039024687843169155,0.026091023711717575,0.018037987554398664,0.012486273233822752,0.008988489852361004,0.008581770854516614,0.007036238662707935,0.007890348558181152,0.007809004758612275,0.006751535364216863,0.002887704884695164
IA,121.87159767135246,68.18378947240983,12.0,399.0,0.01787418655097614,0.05718004338394794,0.14121475054229934,0.16156182212581344,0.1505422993492408,0.11292841648590021,0.089587852494577,0.06989154013015185,0.05197396963123644,0.042386117136659435,0.026724511930585684,0.0175704989154013,0.011626898047722344,0.00824295010845987,0.00893709327548807,0.006854663774403471,0.00772234273318872,0.006507592190889371,0.007071583514099783,0.0036008676789587852
KS,121.77097285476741,69.1954594209007,12.0,400.0,0.0180345969819654,0.05737026131762974,0.15030364372469635,0.16295546558704455,0.14390872285609127,0.11423444976076555,0.08479020979020979,0.07098822230401178,0.05083732057416268,0.04066985645933014,0.02401545822598454,0.01729849098270151,0.013065881486934118,0.008971291866028708,0.008511225616488774,0.008511225616488774,0.0076370997423629,0.00736105999263894,0.00736105999263894,0.003174457121825543
KY,120.8163374133367,67.75320831571285,12.0,400.0,0.016994335221592802,0.05704159219654055,0.14682984459725545,0.1684892914483051,0.14758716791372573,0.11499197237284542,0.0866377874041986,0.07027960376844082,0.05064978340553149,0.03835085274605435,0.025809578625306716,0.016630820029687073,0.011178092151101148,0.008724364605737481,0.008360849413831754,0.007633819030020296,0.007361182636091,0.007573233164702675,0.005967707733785708,0.0029081215352458273
LA,121.72474627781264,68.64274567004604,12.0,399.0,0.017578695322081412,0.057992174268527714,0.14343280967120248,0.1612451089178298,0.15087893476610406,0.11499153185773521,0.08552823687437949,0.07051918472230334,0.05264848449453951,0.03772703381416808,0.02695205279448695,0.018746714944811074,0.011125386906500029,0.009314956491269054,0.008555743736494772,0.007387724113765111,0.007183320679787421,0.007270922151492145,0.007533726566606319,0.0033872569059160192
ME,123.9656133639539,69.44387575934296,12.0,398.0,0.016361511492014025,0.05453837164004675,0.12894429294896767,0.16342033502142578,0.15114920140241528,0.12125048694974679,0.08959875340864823,0.06934164394234515,0.05366186209583171,0.03885858979353331,0.02463965718737826,0.018309310479158552,0.013634592910011687,0.010518114530580444,0.01090767432800935,0.006817296455005843,0.009252045188936502,0.007304246201791975,0.006622516556291391,0.004869497467861317
MD,121.08700875775787,67.77272195650364,12.0,400.0,0.017332511121878166,0.05715103730784478,0.14425406333964674,0.16799541910760693,0.14568559221248292,0.11615205038981632,0.08963573096066599,0.07069550279698718,0.05072016914064221,0.03746200942606704,0.025349072809760825,0.016451570277055894,0.012245077743029556,0.009139761265031052,0.00834691450469101,0.007686208871074307,0.00753204422323041,0.006981456195216491,0.006540985772805356,0.0026428225344668106
MA,120.76858230237814,67.83139714228383,12.0,400.0,0.01759619952494062,0.05932541567695962,0.14810451306413303,0.1639144893111639,0.14407600950118765,0.11616152019002375,0.09009026128266033,0.07061282660332542,0.050052256532066505,0.03884085510688836,0.02424703087885986,0.01672209026128266,0.011648456057007126,0.008741092636579573,0.008380047505938243,0.007961995249406176,0.007239904988123515,0.007201900237529691,0.006403800475059383,0.002679334916864608
MI,122.01999628774482,68.65083778383216,12.0,400.0,0.017454207592248475,0.05635784443854526,0.14280594637642685,0.16412264401380408,0.1485664985399522,0.11667109105388904,0.08874435890629148,0.06985664985399523,0.049336341916644544,0.04012476771967083,0.02447571011414919,0.018423148393947437,0.01201221130873374,0.00861428192195381,0.009105388903636847,0.008083355455269446,0.008202813910273428,0.007340058401911335,0.0067825856118927524,0.002920095566764003
